A full comprehensive list of the route names and IDs to use for data analysis. Retrieved using nameretrievals.py.

Route Name: Medford Square - Davis Station, Route ID: 94
Route Name: West Medford or Arlington Center - Sullivan Square Station, Route ID: 95
Route Name: Medford Square - Harvard Station, Route ID: 96
Route Name: Malden Center Station - Wellington Station, Route ID: 97
Route Name: Woodland Road - Wellington Station, Route ID: 99
Route Name: Elm Street - Wellington Station, Route ID: 100
Route Name: Malden Center Station - Sullivan Square Station via Winter Hill, Route ID: 101
Route Name: Malden Center Station - Sullivan Square Station via Ferry Street, Route ID: 104
Route Name: Malden Center Station - Sullivan Square Station via Newland Street Housing, Route ID: 105
Route Name: Lebanon Loop - Wellington Station, Route ID: 106
Route Name: Linden Square - Wellington Station, Route ID: 108
Route Name: Linden Square - Sullivan Square Station, Route ID: 109
Route Name: Wonderland Station - Wellington Station, Route ID: 110
Route Name: Woodlawn - Haymarket Station, Route ID: 111
Route Name: Wellington Station - Wood Island Station, Route ID: 112
Route Name: Market Basket - Maverick Station, Route ID: 114
Route Name: Wonderland Station - Maverick Station via Revere Street, Route ID: 116
Route Name: Wonderland Station - Maverick Station via Beach Street, Route ID: 117
Route Name: Northgate Shopping Center - Beachmont Station, Route ID: 119
Route Name: Orient Heights Station - Jeffries Point, Route ID: 120
Route Name: Wood Island Station - Maverick Station, Route ID: 121
Route Name: Melrose Highlands - Malden Center Station, Route ID: 131
Route Name: Redstone Shopping Center - Malden Center Station, Route ID: 132
Route Name: North Woburn - Wellington Station, Route ID: 134
Route Name: Reading Depot - Malden Center Station, Route ID: 137
Route Name: Logan Airport Terminals - Nubian Station, Route ID: 171
Route Name: Fields Corner Loop via Neponset Ave, Route ID: 201
Route Name: Fields Corner Loop via Adams Street, Route ID: 202
Route Name: Quincy Center Station - Fields Corner Station, Route ID: 210
Route Name: Quincy Center Station - Squantum, Route ID: 211
Route Name: Quincy Center Station - Ashmont Station via West Quincy, Route ID: 215
Route Name: Houghs Neck - Quincy Center Station via Germantown, Route ID: 216
Route Name: Quincy Center Station - Ashmont Station via Wollaston Station, Route ID: 217
Route Name: Hingham Depot - Quincy Center Station, Route ID: 220
